Company,Year,Price_Begin,Price_End,Capital_Gain_%
AMBEV,2016,17.729999542236328,16.399999618530273,-7.501409802847059
AMBEV,2017,16.34000015258789,21.280000686645508,30.2325611256205
AMBEV,2018,21.329999923706055,15.380000114440918,-27.894982796752554
AMBEV,2019,15.399999618530273,18.670000076293945,21.233769732234254
AMBEV,2020,18.860000610351562,15.649999618530273,-17.020153170405717
AMBEV,2021,15.789999961853027,15.420000076293945,-2.343254505718573
AMBEV,2022,15.420000076293945,14.520000457763672,-5.836573372745275
AMBEV,2023,14.399999618530273,13.729999542236328,-4.652778430853378
AMBEV,2024,13.720000267028809,11.739999771118164,-14.431490214099185
B3,2016,3.5766661167144775,5.5,53.77448776382558
B3,2017,5.420000076293945,7.593332767486572,40.09838857195543
B3,2018,7.630000114440918,8.936665534973145,17.12536567409962
B3,2019,8.949999809265137,14.323332786560059,60.03724124923879
B3,2020,14.393333435058594,20.65999984741211,43.538673238052475
B3,2021,20.713333129882812,11.140000343322754,-46.218214743762104
B3,2022,11.1899995803833,13.210000038146973,18.05183676060941
B3,2023,12.789999961853027,14.550000190734863,13.760752416975345
B3,2024,14.3100004196167,10.319999694824219,-27.882603828039265
BANCO DO BRASIL,2016,7.21999979019165,14.045000076293945,94.52909258216377
BANCO DO BRASIL,2017,13.949999809265137,15.90999984741211,14.050179677029131
BANCO DO BRASIL,2018,16.045000076293945,23.2450008392334,44.873797000333205
BANCO DO BRASIL,2019,23.100000381469727,26.40999984741211,14.329001780439734
BANCO DO BRASIL,2020,26.674999237060547,19.399999618530273,-27.272726622697903
BANCO DO BRASIL,2021,19.614999771118164,14.425000190734863,-26.45934050952804
BANCO DO BRASIL,2022,14.5649995803833,17.364999771118164,19.224169388277986
BANCO DO BRASIL,2023,17.110000610351562,27.69499969482422,61.86439922198906
BANCO DO BRASIL,2024,27.559999465942383,24.170000076293945,-12.300433437372421
BBSEGURIDADE,2016,23.850000381469727,28.299999237060547,18.65827582564003
BBSEGURIDADE,2017,27.850000381469727,28.489999771118164,2.298022911605658
BBSEGURIDADE,2018,28.649999618530273,27.59000015258789,-3.6998236651172425
BBSEGURIDADE,2019,27.8799991607666,37.70000076293945,35.22238844250681
BBSEGURIDADE,2020,38.0,29.6299991607666,-22.026317997982627
BBSEGURIDADE,2021,29.6299991607666,20.75,-29.96962339615825
BBSEGURIDADE,2022,20.920000076293945,33.709999084472656,61.137662340030474
